t,count
1386894833,0
1386894833,0
1386894833,0
1386894833,1
1386894833,1
1386894833,1
1386894833,1
1386894833,1
1386894833,2
1386894833,2
1386894833,2
1386894833,2
1386894833,2
1386894833,2
1386894833,3
1386894833,3
1386894833,3
1386894833,3
1386894833,3
1386894833,4
1386894833,4
1386894833,4
1386894833,4
1386894833,4
1386894833,4
1386894833,5
1386894833,5
1386894833,5
1386894833,5
1386894833,5
1386894833,5
1386894833,6
1386894833,6
1386894833,6
1386894833,6
1386894833,6
1386894833,6
1386894833,7
1386894833,7
1386894833,7
1386894833,7
1386894833,7
1386894833,7
1386894833,8
1386894833,8
1386894833,8
1386894833,8
1386894833,8
1386894833,8
1386894833,8
1386894833,8
1386894833,8
1386894833,9
1386894833,9
1386894833,9
1386894833,9
1386894833,9
1386894833,9
1386894833,10
1386894833,10
1386894833,10
1386894833,10
1386894833,10
1386894833,11
1386894833,11
1386894833,11
1386894833,11
1386894833,11
1386894833,11
1386894833,12
1386894833,12
1386894833,12
1386894833,12
1386894833,12
1386894833,12
1386894833,12
1386894833,12
1386894833,13
1386894833,13
1386894833,13
1386894833,13
1386894833,13
1386894833,13
1386894833,14
1386894833,14
1386894833,14
1386894833,14
1386894833,14
1386894833,15
1386894833,15
1386894833,15
1386894833,15
1386894833,15
1386894833,16
1386894833,16
1386894833,16
1386894833,16
1386894833,16
1386894833,16
1386894833,17
1386894833,17
1386894833,17
1386894833,17
1386894833,17
1386894833,17
1386894833,18
1386894833,18
1386894833,18
1386894833,18
1386894833,18
1386894833,18
1386894833,19
1386894833,19
1386894833,19
1386894833,19
1386894833,30
1386894833,30
1386894833,30
1386894833,30
1386894833,30
1386894833,30
1386894833,31
1386894833,31
1386894833,31
1386894833,31
1386894833,31
1386894833,11
1386894833,11
1386894833,11
1386894833,11
1386894833,11
1386894833,11
1386894833,6
1386894833,6
1386894833,6
1386894833,6
1386894833,6
1386894833,5
1386894833,5
1386894833,5
1386894833,5
1386894833,5
1386894833,5
1386894833,4
1386894833,4
1386894833,4
1386894833,4
1386894833,4
1386894833,4
1386894833,3
1386894833,3
1386894833,3
1386894833,3
1386894833,3
1386894833,3
1386894833,2
1386894833,2
1386894833,2
1386894833,2
1386894833,2
1386894833,2
1386894833,2
1386894833,1
1386894833,1
1386894833,1
1386894833,1
1386894833,1
1386894833,0
1386894833,0
1386894833,0
1386894833,0
1386894833,0
1386894833,-1
1386894833,-1
1386894833,-1
1386894833,-1
1386894833,-1
1386894833,-1
1386894833,-2
1386894833,-2
1386894833,-2
1386894833,-2
1386894833,-2
1386894833,-2
1386894833,-3
1386894833,-3
1386894833,-3
1386894833,-3
1386894833,-3
1386894833,-3
1386894833,-4
1386894833,-4
1386894833,-4
1386894833,-4
1386894833,-4
1386894833,-4
1386894833,-5
1386894833,-5
1386894833,-5
1386894833,-5
1386894833,-5
1386894833,-6
1386894833,-6
1386894833,-6
1386894833,-6
1386894833,-6
1386894833,-6
1386894833,-7
1386894833,-7
1386894833,-7
1386894833,-7
1386894833,-7
